model_name,api_version,display_name,description,input_limit,output_limit,max_output_tokens,temperature_supported,top_k_supported,top_p_supported,base_model_id,version,state,publisher_model,usage_context,primary_type,version_string,version_major,version_minor,version_patch,feature_tags,has_preview,has_exp,has_latest,has_flash,has_pro,has_lite,has_nano,has_ultra,has_vision,has_image,has_embedding,has_tts,has_speech,has_robotics,has_computer_use,has_customtools,has_clip,has_music,has_video,has_gemma,has_lyria,has_imagen,has_deep_research,has_nano_banana,available,status_code,error_type,error_message,time_created,time_updated
gemini-pro-latest,unknown,,,0,0,0,False,False,False,,,,,,gemini-pro,no-version,0,0,0,"latest, pro",False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,404,not_found,Model not found,,
gemini-2.5-flash-lite,v1,Gemini 2.5 Flash-Lite,"Stable version of Gemini 2.5 Flash-Lite, released in July of 2025",1048576,65536,0,False,False,False,,001,,,,gemini-flash,2.5.0,2,5,0,"flash, lite",False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,200,success,Available,,
gemini-2.5-flash-image,unknown,,,0,0,0,False,False,False,,,,,,gemini-flash,2.5.0,2,5,0,"flash, image",False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,404,not_found,Model not found,,
gemini-3-pro-preview,v1beta,Gemini 3 Pro Preview,Gemini 3 Pro Preview,1048576,65536,0,False,False,False,,3-pro-preview-11-2025,,,,gemini-pro,no-version,0,0,0,"preview, pro",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemini-3-flash-preview,v1beta,Gemini 3 Flash Preview,Gemini 3 Flash Preview,1048576,65536,0,False,False,False,,3-flash-preview-12-2025,,,,gemini-flash,no-version,0,0,0,"preview, flash",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,200,success,Available,,
gemini-3.1-pro-preview,v1beta,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,1048576,65536,0,False,False,False,,3.1-pro-preview-01-2026,,,,gemini-pro,3.1.0,3,1,0,"preview, pro",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemini-3.1-pro-preview-customtools,v1beta,Gemini 3.1 Pro Preview Custom Tools,Gemini 3.1 Pro Preview optimized for custom tool usage,1048576,65536,0,False,False,False,,3.1-pro-preview-01-2026,,,,gemini-pro,3.1.0,3,1,0,"preview, pro, customtools",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemini-3.1-flash-lite-preview,v1beta,Gemini 3.1 Flash Lite Preview,Gemini 3.1 Flash Lite Preview,1048576,65536,0,False,False,False,,3.1-flash-lite-preview-03-2026,,,,gemini-flash,3.1.0,3,1,0,"preview, flash, lite",True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,200,success,Available,,
gemini-3-pro-image-preview,v1beta,Nano Banana Pro,Gemini 3 Pro Image Preview,131072,32768,0,False,False,False,,3.0,,,,gemini-pro,no-version,0,0,0,"preview, pro, image",True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
nano-banana-pro-preview,v1beta,Nano Banana Pro,Gemini 3 Pro Image Preview,131072,32768,0,False,False,False,,3.0,,,,nano-banana,no-version,0,0,0,"preview, pro, nano, nano_banana",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,429,quota_exhausted,Rate limit exceeded,,
gemini-3.1-flash-image-preview,v1beta,Nano Banana 2,Gemini 3.1 Flash Image Preview.,65536,65536,0,False,False,False,,3.0,,,,gemini-flash,3.1.0,3,1,0,"preview, flash, image",True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
lyria-3-clip-preview,v1beta,Lyria 3 Clip Preview,Lyria 3 30s model Preview,1048576,65536,0,False,False,False,,lyria-3-clip-preview,,,,lyria,no-version,0,0,0,"preview, clip, lyria",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
lyria-3-pro-preview,v1beta,Lyria 3 Pro Preview,Lyria 3 Pro Preview,1048576,65536,0,False,False,False,,lyria-3-pro-preview,,,,lyria,no-version,0,0,0,"preview, pro, lyria",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemini-3.1-flash-tts-preview,v1beta,Gemini 3.1 Flash TTS Preview,Gemini 3.1 Flash TTS Preview,8192,16384,0,False,False,False,,3.1-flash-tts-preview,,,,gemini-flash,3.1.0,3,1,0,"preview, flash, tts",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,400,bad_request,"Bad request: {
  ""error"": {
    ""code"": 400,
    ""message"": ""Request contains an invalid argument."",
    ""status""",,
gemini-robotics-er-1.5-preview,v1beta,Gemini Robotics-ER 1.5 Preview,Gemini Robotics-ER 1.5 Preview,1048576,65536,0,False,False,False,,1.5-preview,,,,gemini,1.5.0,1,5,0,"preview, robotics",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,200,success,Available,,
gemini-robotics-er-1.6-preview,v1beta,Gemini Robotics-ER 1.6 Preview,Gemini Robotics-ER 1.6 Preview,131072,65536,0,False,False,False,,1.6-preview,,,,gemini,1.6.0,1,6,0,"preview, robotics",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,200,success,Available,,
gemini-2.5-computer-use-preview-10-2025,v1beta,Gemini 2.5 Computer Use Preview 10-2025,Gemini 2.5 Computer Use Preview 10-2025,131072,65536,0,False,False,False,,Gemini 2.5 Computer Use Preview 10-2025,,,,gemini,2.5.0,2,5,0,"preview, computer_use",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
deep-research-max-preview-04-2026,v1beta,Deep Research Max Preview (Apr-21-2026),"Preview release (April 21st, 2026) of Deep Research Max",131072,65536,0,False,False,False,,deepthink-exp-05-20,,,,deep-research,no-version,0,0,0,"preview, deep_research",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,400,bad_request,"Bad request: {
  ""error"": {
    ""code"": 400,
    ""message"": ""This model only supports Interactions API."",
    ""st",,
deep-research-preview-04-2026,v1beta,Deep Research Preview (Apr-21-2026),"Preview release (April 21th, 2026) of Deep Research",131072,65536,0,False,False,False,,deepthink-exp-05-20,,,,deep-research,no-version,0,0,0,"preview, deep_research",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,400,bad_request,"Bad request: {
  ""error"": {
    ""code"": 400,
    ""message"": ""This model only supports Interactions API."",
    ""st",,
deep-research-pro-preview-12-2025,v1beta,Deep Research Pro Preview (Dec-12-2025),"Preview release (December 12th, 2025) of Deep Research Pro",131072,65536,0,False,False,False,,deepthink-exp-05-20,,,,deep-research,no-version,0,0,0,"preview, pro, deep_research",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,400,bad_request,"Bad request: {
  ""error"": {
    ""code"": 400,
    ""message"": ""This model only supports Interactions API."",
    ""st",,
